public_building_id,City,fire,Projected_Area,Height,Plot_Ratio,Effective_Age,Mean_Age_Score,Pop_Density,Price,Fee,EUI,Real_Total_Pop,Total_Built_Area,Usage
SHB_a15a531649c95ee5,Shanghai,0,260.0875,18.0,2.0,17.0,42.10919060713388,0.03754772529899057,34551.0,0.55,188.2998176949356,58.59416402220726,1560.5249999999999,Residential_3
SHB_bcba5ab793e4ef18,Shanghai,0,1027.1845,72.0,1.6,17.0,40.29059579393383,0.008117539759448428,48537.0,1.53,187.2485477506866,200.1170644569397,24652.428,Residential_1
SHB_0b4baca4cc2ffd39,Shanghai,0,229.3969,18.0,0.8,9.0,39.764761486544934,0.02398623477740968,49707.0,2.5,189.7240479988971,33.014207403659825,1376.3814,Residential_3
SHB_14e00a080dd2e5a0,Shanghai,0,1064.1856,39.0,3.6,12.0,47.322086718109816,0.05094586085207668,80287.0,1.5,187.2485477506866,704.8060694789885,13834.4128,Residential_1
SHB_706ef526f507e31e,Shanghai,0,210.3947,9.0,4.0,17.0,39.76475104792418,0.02811215459537153,32234.0,0.8,278.6082817937599,17.743944997340442,631.1841,Residential_1
SHB_4ec21a373dd2cf7b,Shanghai,0,187.7021,6.0,0.29,17.0,40.61182318063459,0.02278669328870009,131776.0,4.8,116.188178371516,8.554220364689826,375.4042,Residential_1
SHB_be62818bccaeb231,Shanghai,0,579.9463,27.0,1.7,7.0,40.611864750661155,0.012971003474736524,37258.0,0.5,186.0630269224294,67.7023692521453,5219.516699999999,Residential_3
SHB_8939e50b6b10f03e,Shanghai,0,282.9288,9.0,1.3,15.0,40.61186672609424,0.11703917088678584,65956.0,1.7,278.6082817937599,99.34125651597977,848.7864000000001,Residential_1
SHB_e4820e040a7ab777,Shanghai,0,732.9268,24.0,1.6,26.0,40.61186606722687,0.013987972879112442,32600.0,0.35,188.2998176949356,82.01728160619734,5863.4144,Residential_3
SHB_56ea61610e4fa35e,Shanghai,0,135.9237,9.0,0.7,16.0,38.137456163737134,0.009653455276857442,57490.0,2.1,195.451468548024,3.9364000770449636,407.7711,Residential_1
SHB_5611662c5e8781a2,Shanghai,0,466.1805,36.0,2.0,10.0,45.874310520138856,0.01047942933034456,31654.0,1.5,187.2485477506866,58.623667259216305,5594.166,Residential_1
SHB_233b9d076e397da1,Shanghai,0,413.7653,24.0,1.6,30.0,40.611864206277325,0.018024369705997495,32600.0,0.35,188.2998176949356,59.66286990970373,3310.1224,Residential_3
SHB_c3f9bd6c9bc84702,Shanghai,0,414.6445,18.0,2.5,68.0,46.847567803524626,0.04182243383277664,48699.0,0.7,106.952771334059,104.04865299224852,2487.867,Residential_3
SHB_c1e25fcb74516f1b,Shanghai,0,168.649,9.0,0.9,15.0,38.137494099170475,0.012753168207955757,44593.0,1.9,195.451468548024,6.452427195310592,505.947,Residential_1
SHB_750b22f43565338f,Shanghai,0,570.8985,15.0,1.0,18.0,38.13754988501396,0.04245501863364756,20765.0,0.6,109.4626129590327,121.18753227710722,2854.4925000000003,Residential_3
SHB_1904a13dfa9b24cb,Shanghai,0,284.9671,30.0,1.2,17.0,40.61185991751992,0.012593310394340708,35346.0,1.3,187.2485477506866,35.88679142475128,2849.6710000000003,Residential_1
